,videoname,filepath,poi,context,model,label,in_ref,in_tst
23,id00781/00092_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00781/00092_fake.mp4,id00781,fvsSae9yc0A,rtvc_B,1,0,1
24,id00830/00143,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00830/00143.mp4,id00830,rfl3Teg9uew,real_A,0,0,1
25,id00830/00143_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00830/00143_fake.mp4,id00830,rfl3Teg9uew,rtvc_B,1,0,1
26,id00944/00135,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00944/00135.mp4,id00944,DiW5D62667U,real_A,0,0,1
27,id00944/00135_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00944/00135_fake.mp4,id00944,DiW5D62667U,rtvc_B,1,0,1
28,id00987/00160,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00987/00160.mp4,id00987,S4evN4CPCe4,real_A,0,0,1
29,id00987/00160_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00987/00160_fake.mp4,id00987,S4evN4CPCe4,rtvc_B,1,0,1
30,id01036/00010,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01036/00010.mp4,id01036,AohKaMtIHxA,real_A,0,0,1
31,id01036/00010_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01036/00010_fake.mp4,id01036,AohKaMtIHxA,rtvc_B,1,0,1
32,id01076/00005,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01076/00005.mp4,id01076,9bqxgm5fT58,real_A,0,0,1
33,id01076/00005_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01076/00005_fake.mp4,id01076,9bqxgm5fT58,rtvc_B,1,0,1
34,id01170/00021,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01170/00021.mp4,id01170,7eoTTk4xyNo,real_A,0,0,1
35,id01170/00021_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01170/00021_fake.mp4,id01170,7eoTTk4xyNo,rtvc_B,1,0,1
36,id01171/00053,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01171/00053.mp4,id01171,XSINMRoTb0E,real_A,0,0,1
37,id01171/00053_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01171/00053_fake.mp4,id01171,XSINMRoTb0E,rtvc_B,1,0,1
38,id01179/00160,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01179/00160.mp4,id01179,RnqLJMrWELw,real_A,0,0,1
39,id01179/00160_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01179/00160_fake.mp4,id01179,RnqLJMrWELw,rtvc_B,1,0,1
40,id01207/00320,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01207/00320.mp4,id01207,mt129WTRSII,real_A,0,0,1
41,id01207/00320_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01207/00320_fake.mp4,id01207,mt129WTRSII,rtvc_B,1,0,1
42,id01236/00005,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01236/00005.mp4,id01236,7WdumGR5-JM,real_A,0,0,1
43,id01236/00005_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01236/00005_fake.mp4,id01236,7WdumGR5-JM,rtvc_B,1,0,1
44,id01392/00167,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01392/00167.mp4,id01392,fF-g0KFJ7lg,real_A,0,0,1
45,id01392/00167_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01392/00167_fake.mp4,id01392,fF-g0KFJ7lg,rtvc_B,1,0,1
46,id01452/00001,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01452/00001.mp4,id01452,4MqeoSxSy3w,real_A,0,0,1
47,id01452/00001_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01452/00001_fake.mp4,id01452,4MqeoSxSy3w,rtvc_B,1,0,1
48,id01521/00109,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01521/00109.mp4,id01521,jthjSmLdLOg,real_A,0,0,1
49,id01521/00109_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01521/00109_fake.mp4,id01521,jthjSmLdLOg,rtvc_B,1,0,1
50,id01528/00017,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01528/00017.mp4,id01528,SBAS9Kcb8QY,real_A,0,0,1
51,id01528/00017_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01528/00017_fake.mp4,id01528,SBAS9Kcb8QY,rtvc_B,1,0,1
52,id01530/00002,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01530/00002.mp4,id01530,8kiAt_4gQGI,real_A,0,0,1
53,id01530/00002_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01530/00002_fake.mp4,id01530,8kiAt_4gQGI,rtvc_B,1,0,1
54,id01544/00044,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01544/00044.mp4,id01544,uBo9585VW2A,real_A,0,0,1
55,id01544/00044_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01544/00044_fake.mp4,id01544,uBo9585VW2A,rtvc_B,1,0,1
56,id01597/00005,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01597/00005.mp4,id01597,52WEZxe4_GE,real_A,0,0,1
57,id01597/00005_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01597/00005_fake.mp4,id01597,52WEZxe4_GE,rtvc_B,1,0,1
58,id01598/00044,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01598/00044.mp4,id01598,jU0e5_ktk-0,real_A,0,0,1
59,id01598/00044_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01598/00044_fake.mp4,id01598,jU0e5_ktk-0,rtvc_B,1,0,1
60,id01610/00090,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01610/00090.mp4,id01610,l8zb_iaDJJA,real_A,0,0,1
61,id01610/00090_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01610/00090_fake.mp4,id01610,l8zb_iaDJJA,rtvc_B,1,0,1
62,id01637/00002,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01637/00002.mp4,id01637,5VjcPZm8knM,real_A,0,0,1
63,id01637/00002_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01637/00002_fake.mp4,id01637,5VjcPZm8knM,rtvc_B,1,0,1
64,id01691/00045,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01691/00045.mp4,id01691,IVtS5z8Jrrk,real_A,0,0,1
65,id01691/00045_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01691/00045_fake.mp4,id01691,IVtS5z8Jrrk,rtvc_B,1,0,1
66,id01717/00005,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01717/00005.mp4,id01717,JDW6p8yU13A,real_A,0,0,1
67,id01717/00005_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01717/00005_fake.mp4,id01717,JDW6p8yU13A,rtvc_B,1,0,1
68,id01779/00010,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01779/00010.mp4,id01779,HgyHpDEo_jk,real_A,0,0,1
69,id01779/00010_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01779/00010_fake.mp4,id01779,HgyHpDEo_jk,rtvc_B,1,0,1
70,id01835/00130,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01835/00130.mp4,id01835,UZbWA0QfXXA,real_A,0,0,1
71,id01835/00130_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01835/00130_fake.mp4,id01835,UZbWA0QfXXA,rtvc_B,1,0,1
72,id01856/00006,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01856/00006.mp4,id01856,6Q2f3b1QNRM,real_A,0,0,1
73,id01856/00006_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01856/00006_fake.mp4,id01856,6Q2f3b1QNRM,rtvc_B,1,0,1
74,id01920/00099,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01920/00099.mp4,id01920,w9C_knCPD94,real_A,0,0,1
75,id01920/00099_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01920/00099_fake.mp4,id01920,w9C_knCPD94,rtvc_B,1,0,1
76,id01933/00028,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01933/00028.mp4,id01933,I5XXxgK7QpE,real_A,0,0,1
77,id01933/00028_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01933/00028_fake.mp4,id01933,I5XXxgK7QpE,rtvc_B,1,0,1
78,id01972/00078,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01972/00078.mp4,id01972,hBYoeQTm8ZQ,real_A,0,0,1
79,id01972/00078_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01972/00078_fake.mp4,id01972,hBYoeQTm8ZQ,rtvc_B,1,0,1
80,id01995/00071,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id01995/00071.mp4,id01995,YUR9wTypwIo,real_A,0,0,1
81,id01995/00071_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id01995/00071_fake.mp4,id01995,YUR9wTypwIo,rtvc_B,1,0,1
82,id02005/00052,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02005/00052.mp4,id02005,7_Egh9mW5y4,real_A,0,0,1
83,id02005/00052_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02005/00052_fake.mp4,id02005,7_Egh9mW5y4,rtvc_B,1,0,1
84,id02040/00476,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02040/00476.mp4,id02040,wl6EVkamZFQ,real_A,0,0,1
85,id02040/00476_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02040/00476_fake.mp4,id02040,wl6EVkamZFQ,rtvc_B,1,0,1
86,id02051/00015,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02051/00015.mp4,id02051,LSz6x_fNV_Y,real_A,0,0,1
87,id02051/00015_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02051/00015_fake.mp4,id02051,LSz6x_fNV_Y,rtvc_B,1,0,1
88,id02268/00036,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02268/00036.mp4,id02268,irA9myDvW-I,real_A,0,0,1
89,id02268/00036_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02268/00036_fake.mp4,id02268,irA9myDvW-I,rtvc_B,1,0,1
90,id02296/00019,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02296/00019.mp4,id02296,IAgOrCuY8vU,real_A,0,0,1
91,id02296/00019_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02296/00019_fake.mp4,id02296,IAgOrCuY8vU,rtvc_B,1,0,1
92,id02316/00094,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02316/00094.mp4,id02316,yrrNcmZ-xmI,real_A,0,0,1
93,id02316/00094_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02316/00094_fake.mp4,id02316,yrrNcmZ-xmI,rtvc_B,1,0,1
94,id02342/00191,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02342/00191.mp4,id02342,RJPBPhJB8TA,real_A,0,0,1
95,id02342/00191_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02342/00191_fake.mp4,id02342,RJPBPhJB8TA,rtvc_B,1,0,1
96,id02494/00050,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id02494/00050.mp4,id02494,lObg47hQleE,real_A,0,0,1
97,id02494/00050_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id02494/00050_fake.mp4,id02494,lObg47hQleE,rtvc_B,1,0,1
98,id04727/00007,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id04727/00007.mp4,id04727,AAnyugIAXao,real_A,0,0,1
99,id04727/00007_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id04727/00007_fake.mp4,id04727,AAnyugIAXao,rtvc_B,1,0,1
100,id00220/00027,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00220/00027.mp4,id00220,WlHLlTQKj8g,real_A,0,0,1
101,id00220/00027_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00220/00027_fake.mp4,id00220,WlHLlTQKj8g,rtvc_B,1,0,1
102,id00359/00053,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00359/00053.mp4,id00359,RZMQan-7me4,real_A,0,0,1
103,id00359/00053_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00359/00053_fake.mp4,id00359,RZMQan-7me4,rtvc_B,1,0,1
104,id00371/00099,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00371/00099.mp4,id00371,t20i0HtPwW0,real_A,0,0,1
105,id00371/00099_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00371/00099_fake.mp4,id00371,t20i0HtPwW0,rtvc_B,1,0,1
106,id00460/00005,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00460/00005.mp4,id00460,9sVM1Crx1FA,real_A,0,0,1
107,id00460/00005_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00460/00005_fake.mp4,id00460,9sVM1Crx1FA,rtvc_B,1,0,1
108,id00568/00384,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00568/00384.mp4,id00568,gakhcJXnJZ8,real_A,0,0,1
109,id00568/00384_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00568/00384_fake.mp4,id00568,gakhcJXnJZ8,rtvc_B,1,0,1
110,id00577/00010,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00577/00010.mp4,id00577,3_2j9zcpg18,real_A,0,0,1
111,id00577/00010_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00577/00010_fake.mp4,id00577,3_2j9zcpg18,rtvc_B,1,0,1
112,id00592/00017,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00592/00017.mp4,id00592,DDSB3r_vNQg,real_A,0,0,1
113,id00592/00017_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00592/00017_fake.mp4,id00592,DDSB3r_vNQg,rtvc_B,1,0,1
114,id00707/00052,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00707/00052.mp4,id00707,feeHCIlo6jg,real_A,0,0,1
115,id00707/00052_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00707/00052_fake.mp4,id00707,feeHCIlo6jg,rtvc_B,1,0,1
116,id00829/00271,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00829/00271.mp4,id00829,aMEvVaUBq2Y,real_A,0,0,1
117,id00829/00271_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00829/00271_fake.mp4,id00829,aMEvVaUBq2Y,rtvc_B,1,0,1
118,id00832/00078,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id00832/00078.mp4,id00832,Jr4-dXRChME,real_A,0,0,1
119,id00832/00078_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id00832/00078_fake.mp4,id00832,Jr4-dXRChME,rtvc_B,1,0,1
120,id01178/00028,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id01178/00028.mp4,id01178,6XpgYMiKxhc,real_A,0,0,1
121,id01178/00028_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id01178/00028_fake.mp4,id01178,6XpgYMiKxhc,rtvc_B,1,0,1
122,id01532/00065,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id01532/00065.mp4,id01532,XnlWp_s_f7Q,real_A,0,0,1
123,id01532/00065_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id01532/00065_fake.mp4,id01532,XnlWp_s_f7Q,rtvc_B,1,0,1
124,id01661/00059,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id01661/00059.mp4,id01661,SdP_Monh-_4,real_A,0,0,1
125,id01661/00059_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id01661/00059_fake.mp4,id01661,SdP_Monh-_4,rtvc_B,1,0,1
126,id01783/00015,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id01783/00015.mp4,id01783,WBUM0bHzWNA,real_A,0,0,1
127,id01783/00015_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id01783/00015_fake.mp4,id01783,WBUM0bHzWNA,rtvc_B,1,0,1
128,id01838/00126,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id01838/00126.mp4,id01838,q_lUk55OrL0,real_A,0,0,1
129,id01838/00126_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id01838/00126_fake.mp4,id01838,q_lUk55OrL0,rtvc_B,1,0,1
130,id01907/00148,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id01907/00148.mp4,id01907,LBcRkuRq0uY,real_A,0,0,1
131,id01907/00148_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id01907/00148_fake.mp4,id01907,LBcRkuRq0uY,rtvc_B,1,0,1
132,id02071/00195,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02071/00195.mp4,id02071,cHuDh9F87vA,real_A,0,0,1
133,id02071/00195_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02071/00195_fake.mp4,id02071,cHuDh9F87vA,rtvc_B,1,0,1
134,id02301/00092,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02301/00092.mp4,id02301,WdVa7Mp3brI,real_A,0,0,1
135,id02301/00092_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02301/00092_fake.mp4,id02301,WdVa7Mp3brI,rtvc_B,1,0,1
136,id02508/00083,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02508/00083.mp4,id02508,U6LlYM6L0FQ,real_A,0,0,1
137,id02508/00083_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02508/00083_fake.mp4,id02508,U6LlYM6L0FQ,rtvc_B,1,0,1
138,id02586/00042,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02586/00042.mp4,id02586,dEYzYDsbAeo,real_A,0,0,1
139,id02586/00042_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02586/00042_fake.mp4,id02586,dEYzYDsbAeo,rtvc_B,1,0,1
140,id02617/00028,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02617/00028.mp4,id02617,4EZjRXC4fLk,real_A,0,0,1
141,id02617/00028_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02617/00028_fake.mp4,id02617,4EZjRXC4fLk,rtvc_B,1,0,1
142,id02721/00424,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02721/00424.mp4,id02721,rwNm8RKL47Y,real_A,0,0,1
143,id02721/00424_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02721/00424_fake.mp4,id02721,rwNm8RKL47Y,rtvc_B,1,0,1
144,id02808/00056,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02808/00056.mp4,id02808,nZtvxh6Eesc,real_A,0,0,1
145,id02808/00056_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02808/00056_fake.mp4,id02808,nZtvxh6Eesc,rtvc_B,1,0,1
146,id02824/00130,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02824/00130.mp4,id02824,glBy_mYcXZw,real_A,0,0,1
147,id02824/00130_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02824/00130_fake.mp4,id02824,glBy_mYcXZw,rtvc_B,1,0,1
148,id02838/00080,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02838/00080.mp4,id02838,kaCQlSGlLe8,real_A,0,0,1
149,id02838/00080_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02838/00080_fake.mp4,id02838,kaCQlSGlLe8,rtvc_B,1,0,1
150,id02948/00298,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/women/id02948/00298.mp4,id02948,_ZEDGNWjuFE,real_A,0,0,1
151,id02948/00298_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/women/id02948/00298_fake.mp4,id02948,_ZEDGNWjuFE,rtvc_B,1,0,1
