,Unnamed: 0,videoname,filepath,poi,context,model,label,in_tst,in_ref
62,62,62,InTheWild/release_in_the_wild/62.wav,Ronald Reagan,62,spoof,1,1,0
63,63,63,InTheWild/release_in_the_wild/63.wav,Ayn Rand,63,spoof,1,1,0
64,64,64,InTheWild/release_in_the_wild/64.wav,Ayn Rand,64,bona-fide,0,1,1
65,65,65,InTheWild/release_in_the_wild/65.wav,Mark Zuckerberg,65,spoof,1,1,0
66,66,66,InTheWild/release_in_the_wild/66.wav,Barack Obama,66,bona-fide,0,1,1
67,67,67,InTheWild/release_in_the_wild/67.wav,Bernie Sanders,67,bona-fide,0,1,1
68,68,68,InTheWild/release_in_the_wild/68.wav,Bernie Sanders,68,spoof,1,1,0
69,69,69,InTheWild/release_in_the_wild/69.wav,Bernie Sanders,69,spoof,1,1,0
70,70,70,InTheWild/release_in_the_wild/70.wav,Alan Watts,70,bona-fide,0,1,1
71,71,71,InTheWild/release_in_the_wild/71.wav,Jimmy Carter,71,bona-fide,0,1,1
72,72,72,InTheWild/release_in_the_wild/72.wav,Barack Obama,72,bona-fide,0,1,1
73,73,73,InTheWild/release_in_the_wild/73.wav,Bill Clinton,73,bona-fide,0,1,1
74,74,74,InTheWild/release_in_the_wild/74.wav,Christopher Hitchens,74,bona-fide,0,1,1
75,75,75,InTheWild/release_in_the_wild/75.wav,Winston Churchill,75,bona-fide,0,1,1
76,76,76,InTheWild/release_in_the_wild/76.wav,Bill Clinton,76,spoof,1,1,0
77,77,77,InTheWild/release_in_the_wild/77.wav,Alec Guinness,77,bona-fide,0,1,1
78,78,78,InTheWild/release_in_the_wild/78.wav,Dwight Eisenhower,78,bona-fide,0,1,1
79,79,79,InTheWild/release_in_the_wild/79.wav,2Pac,79,spoof,1,1,0
80,80,80,InTheWild/release_in_the_wild/80.wav,Donald Trump,80,bona-fide,0,1,1
81,81,81,InTheWild/release_in_the_wild/81.wav,Bernie Sanders,81,spoof,1,1,0
82,82,82,InTheWild/release_in_the_wild/82.wav,Alec Guinness,82,bona-fide,0,1,1
83,83,83,InTheWild/release_in_the_wild/83.wav,Bill Clinton,83,bona-fide,0,1,1
84,84,84,InTheWild/release_in_the_wild/84.wav,Bernie Sanders,84,bona-fide,0,1,1
85,85,85,InTheWild/release_in_the_wild/85.wav,Bernie Sanders,85,bona-fide,0,1,1
86,86,86,InTheWild/release_in_the_wild/86.wav,Alec Guinness,86,bona-fide,0,1,1
87,87,87,InTheWild/release_in_the_wild/87.wav,Alec Guinness,87,bona-fide,0,1,1
88,88,88,InTheWild/release_in_the_wild/88.wav,Ronald Reagan,88,bona-fide,0,1,1
89,89,89,InTheWild/release_in_the_wild/89.wav,Barack Obama,89,bona-fide,0,1,1
90,90,90,InTheWild/release_in_the_wild/90.wav,Donald Trump,90,bona-fide,0,1,1
91,91,91,InTheWild/release_in_the_wild/91.wav,Bill Clinton,91,spoof,1,1,0
92,92,92,InTheWild/release_in_the_wild/92.wav,Mitch Hedberg,92,spoof,1,1,0
93,93,93,InTheWild/release_in_the_wild/93.wav,Ayn Rand,93,bona-fide,0,1,1
94,94,94,InTheWild/release_in_the_wild/94.wav,Barack Obama,94,bona-fide,0,1,1
95,95,95,InTheWild/release_in_the_wild/95.wav,Bill Clinton,95,bona-fide,0,1,1
96,96,96,InTheWild/release_in_the_wild/96.wav,Alec Guinness,96,bona-fide,0,1,1
97,97,97,InTheWild/release_in_the_wild/97.wav,Barack Obama,97,bona-fide,0,1,1
98,98,98,InTheWild/release_in_the_wild/98.wav,Bernie Sanders,98,bona-fide,0,1,1
99,99,99,InTheWild/release_in_the_wild/99.wav,Bill Burr,99,bona-fide,0,1,1
100,100,100,InTheWild/release_in_the_wild/100.wav,Alexandria Ocasio-Cortez,100,bona-fide,0,1,1
101,101,101,InTheWild/release_in_the_wild/101.wav,Christopher Hitchens,101,spoof,1,1,0
102,102,102,InTheWild/release_in_the_wild/102.wav,Milton Friedman,102,bona-fide,0,1,1
103,103,103,InTheWild/release_in_the_wild/103.wav,Bernie Sanders,103,spoof,1,1,0
104,104,104,InTheWild/release_in_the_wild/104.wav,Bernie Sanders,104,bona-fide,0,1,1
105,105,105,InTheWild/release_in_the_wild/105.wav,Christopher Hitchens,105,bona-fide,0,1,1
106,106,106,InTheWild/release_in_the_wild/106.wav,FDR,106,bona-fide,0,1,1
107,107,107,InTheWild/release_in_the_wild/107.wav,Alec Guinness,107,spoof,1,1,0
108,108,108,InTheWild/release_in_the_wild/108.wav,Donald Trump,108,bona-fide,0,1,1
109,109,109,InTheWild/release_in_the_wild/109.wav,Arnold Schwarzenegger,109,bona-fide,0,1,1
110,110,110,InTheWild/release_in_the_wild/110.wav,Milton Friedman,110,spoof,1,1,0
111,111,111,InTheWild/release_in_the_wild/111.wav,Barack Obama,111,bona-fide,0,1,1
112,112,112,InTheWild/release_in_the_wild/112.wav,Barack Obama,112,bona-fide,0,1,1
113,113,113,InTheWild/release_in_the_wild/113.wav,Donald Trump,113,bona-fide,0,1,1
114,114,114,InTheWild/release_in_the_wild/114.wav,Ayn Rand,114,spoof,1,1,0
115,115,115,InTheWild/release_in_the_wild/115.wav,Bill Clinton,115,bona-fide,0,1,1
116,116,116,InTheWild/release_in_the_wild/116.wav,FDR,116,spoof,1,1,0
117,117,117,InTheWild/release_in_the_wild/117.wav,Alan Watts,117,spoof,1,1,0
118,118,118,InTheWild/release_in_the_wild/118.wav,Bernie Sanders,118,spoof,1,1,0
119,119,119,InTheWild/release_in_the_wild/119.wav,Barack Obama,119,bona-fide,0,1,1
120,120,120,InTheWild/release_in_the_wild/120.wav,Barack Obama,120,bona-fide,0,1,1
121,121,121,InTheWild/release_in_the_wild/121.wav,Ayn Rand,121,bona-fide,0,1,1
122,122,122,InTheWild/release_in_the_wild/122.wav,FDR,122,spoof,1,1,0
123,123,123,InTheWild/release_in_the_wild/123.wav,Donald Trump,123,bona-fide,0,1,1
124,124,124,InTheWild/release_in_the_wild/124.wav,Barack Obama,124,bona-fide,0,1,1
125,125,125,InTheWild/release_in_the_wild/125.wav,Donald Trump,125,bona-fide,0,1,1
126,126,126,InTheWild/release_in_the_wild/126.wav,Mitch Hedberg,126,spoof,1,1,0
127,127,127,InTheWild/release_in_the_wild/127.wav,George W. Bush,127,spoof,1,1,0
128,128,128,InTheWild/release_in_the_wild/128.wav,Alan Watts,128,spoof,1,1,0
129,129,129,InTheWild/release_in_the_wild/129.wav,Milton Friedman,129,bona-fide,0,1,1
130,130,130,InTheWild/release_in_the_wild/130.wav,Bernie Sanders,130,bona-fide,0,1,1
131,131,131,InTheWild/release_in_the_wild/131.wav,Bill Clinton,131,bona-fide,0,1,1
132,132,132,InTheWild/release_in_the_wild/132.wav,JFK,132,spoof,1,1,0
133,133,133,InTheWild/release_in_the_wild/133.wav,Barack Obama,133,bona-fide,0,1,1
134,134,134,InTheWild/release_in_the_wild/134.wav,Donald Trump,134,bona-fide,0,1,1
135,135,135,InTheWild/release_in_the_wild/135.wav,Bernie Sanders,135,spoof,1,1,0
136,136,136,InTheWild/release_in_the_wild/136.wav,Alec Guinness,136,spoof,1,1,0
137,137,137,InTheWild/release_in_the_wild/137.wav,Bill Clinton,137,bona-fide,0,1,1
138,138,138,InTheWild/release_in_the_wild/138.wav,Donald Trump,138,spoof,1,1,0
139,139,139,InTheWild/release_in_the_wild/139.wav,Bernie Sanders,139,spoof,1,1,0
140,140,140,InTheWild/release_in_the_wild/140.wav,Alec Guinness,140,bona-fide,0,1,1
141,141,141,InTheWild/release_in_the_wild/141.wav,Mark Zuckerberg,141,bona-fide,0,1,1
142,142,142,InTheWild/release_in_the_wild/142.wav,Mark Zuckerberg,142,bona-fide,0,1,1
143,143,143,InTheWild/release_in_the_wild/143.wav,Ayn Rand,143,bona-fide,0,1,1
144,144,144,InTheWild/release_in_the_wild/144.wav,Queen Elizabeth II,144,spoof,1,1,0
145,145,145,InTheWild/release_in_the_wild/145.wav,Barack Obama,145,bona-fide,0,1,1
146,146,146,InTheWild/release_in_the_wild/146.wav,The Notorious B.I.G.,146,spoof,1,1,0
147,147,147,InTheWild/release_in_the_wild/147.wav,Alec Guinness,147,bona-fide,0,1,1
148,148,148,InTheWild/release_in_the_wild/148.wav,Jerry Seinfeld,148,spoof,1,1,0
149,149,149,InTheWild/release_in_the_wild/149.wav,Martin Luther King,149,bona-fide,0,1,1
150,150,150,InTheWild/release_in_the_wild/150.wav,Queen Elizabeth II,150,spoof,1,1,0
151,151,151,InTheWild/release_in_the_wild/151.wav,Martin Luther King,151,bona-fide,0,1,1
152,152,152,InTheWild/release_in_the_wild/152.wav,Christopher Hitchens,152,bona-fide,0,1,1
153,153,153,InTheWild/release_in_the_wild/153.wav,2Pac,153,spoof,1,1,0
154,154,154,InTheWild/release_in_the_wild/154.wav,Winston Churchill,154,bona-fide,0,1,1
155,155,155,InTheWild/release_in_the_wild/155.wav,Alec Guinness,155,spoof,1,1,0
156,156,156,InTheWild/release_in_the_wild/156.wav,Martin Luther King,156,bona-fide,0,1,1
157,157,157,InTheWild/release_in_the_wild/157.wav,Bill Clinton,157,bona-fide,0,1,1
158,158,158,InTheWild/release_in_the_wild/158.wav,Donald Trump,158,bona-fide,0,1,1
159,159,159,InTheWild/release_in_the_wild/159.wav,Bernie Sanders,159,spoof,1,1,0
160,160,160,InTheWild/release_in_the_wild/160.wav,Martin Luther King,160,bona-fide,0,1,1
161,161,161,InTheWild/release_in_the_wild/161.wav,Donald Trump,161,bona-fide,0,1,1
162,162,162,InTheWild/release_in_the_wild/162.wav,Donald Trump,162,bona-fide,0,1,1
163,163,163,InTheWild/release_in_the_wild/163.wav,Alec Guinness,163,spoof,1,1,0
164,164,164,InTheWild/release_in_the_wild/164.wav,Barack Obama,164,bona-fide,0,1,1
165,165,165,InTheWild/release_in_the_wild/165.wav,George W. Bush,165,spoof,1,1,0
166,166,166,InTheWild/release_in_the_wild/166.wav,Alec Guinness,166,bona-fide,0,1,1
167,167,167,InTheWild/release_in_the_wild/167.wav,Ayn Rand,167,bona-fide,0,1,1
168,168,168,InTheWild/release_in_the_wild/168.wav,Alec Guinness,168,bona-fide,0,1,1
169,169,169,InTheWild/release_in_the_wild/169.wav,Ayn Rand,169,bona-fide,0,1,1
170,170,170,InTheWild/release_in_the_wild/170.wav,Tucker Carlson,170,spoof,1,1,0
171,171,171,InTheWild/release_in_the_wild/171.wav,Donald Trump,171,bona-fide,0,1,1
172,172,172,InTheWild/release_in_the_wild/172.wav,Ayn Rand,172,spoof,1,1,0
173,173,173,InTheWild/release_in_the_wild/173.wav,Christopher Hitchens,173,bona-fide,0,1,1
174,174,174,InTheWild/release_in_the_wild/174.wav,Alec Guinness,174,spoof,1,1,0
175,175,175,InTheWild/release_in_the_wild/175.wav,Nelson Mandela,175,spoof,1,1,0
176,176,176,InTheWild/release_in_the_wild/176.wav,Barack Obama,176,bona-fide,0,1,1
177,177,177,InTheWild/release_in_the_wild/177.wav,JFK,177,bona-fide,0,1,1
178,178,178,InTheWild/release_in_the_wild/178.wav,Ronald Reagan,178,bona-fide,0,1,1
179,179,179,InTheWild/release_in_the_wild/179.wav,Ayn Rand,179,spoof,1,1,0
180,180,180,InTheWild/release_in_the_wild/180.wav,Donald Trump,180,bona-fide,0,1,1
181,181,181,InTheWild/release_in_the_wild/181.wav,Christopher Hitchens,181,bona-fide,0,1,1
182,182,182,InTheWild/release_in_the_wild/182.wav,Ayn Rand,182,spoof,1,1,0
183,183,183,InTheWild/release_in_the_wild/183.wav,Bernie Sanders,183,bona-fide,0,1,1
184,184,184,InTheWild/release_in_the_wild/184.wav,Barack Obama,184,spoof,1,1,0
185,185,185,InTheWild/release_in_the_wild/185.wav,Winston Churchill,185,bona-fide,0,1,1
186,186,186,InTheWild/release_in_the_wild/186.wav,Alec Guinness,186,spoof,1,1,0
187,187,187,InTheWild/release_in_the_wild/187.wav,Bernie Sanders,187,bona-fide,0,1,1
188,188,188,InTheWild/release_in_the_wild/188.wav,Milton Friedman,188,spoof,1,1,0
189,189,189,InTheWild/release_in_the_wild/189.wav,Bernie Sanders,189,bona-fide,0,1,1
190,190,190,InTheWild/release_in_the_wild/190.wav,Barack Obama,190,spoof,1,1,0
191,191,191,InTheWild/release_in_the_wild/191.wav,Mark Zuckerberg,191,spoof,1,1,0
192,192,192,InTheWild/release_in_the_wild/192.wav,Winston Churchill,192,bona-fide,0,1,1
193,193,193,InTheWild/release_in_the_wild/193.wav,The Notorious B.I.G.,193,spoof,1,1,0
194,194,194,InTheWild/release_in_the_wild/194.wav,Bernie Sanders,194,bona-fide,0,1,1
195,195,195,InTheWild/release_in_the_wild/195.wav,Barack Obama,195,bona-fide,0,1,1
196,196,196,InTheWild/release_in_the_wild/196.wav,Bernie Sanders,196,bona-fide,0,1,1
197,197,197,InTheWild/release_in_the_wild/197.wav,Barack Obama,197,bona-fide,0,1,1
198,198,198,InTheWild/release_in_the_wild/198.wav,Bernie Sanders,198,bona-fide,0,1,1
199,199,199,InTheWild/release_in_the_wild/199.wav,Barack Obama,199,bona-fide,0,1,1
200,200,200,InTheWild/release_in_the_wild/200.wav,Donald Trump,200,bona-fide,0,1,1
201,201,201,InTheWild/release_in_the_wild/201.wav,Donald Trump,201,bona-fide,0,1,1
202,202,202,InTheWild/release_in_the_wild/202.wav,Ayn Rand,202,bona-fide,0,1,1
203,203,203,InTheWild/release_in_the_wild/203.wav,Barack Obama,203,bona-fide,0,1,1
204,204,204,InTheWild/release_in_the_wild/204.wav,Donald Trump,204,bona-fide,0,1,1
205,205,205,InTheWild/release_in_the_wild/205.wav,Donald Trump,205,bona-fide,0,1,1
206,206,206,InTheWild/release_in_the_wild/206.wav,Ayn Rand,206,bona-fide,0,1,1
207,207,207,InTheWild/release_in_the_wild/207.wav,Jerry Seinfeld,207,spoof,1,1,0
208,208,208,InTheWild/release_in_the_wild/208.wav,Bernie Sanders,208,bona-fide,0,1,1
209,209,209,InTheWild/release_in_the_wild/209.wav,Nelson Mandela,209,spoof,1,1,0
210,210,210,InTheWild/release_in_the_wild/210.wav,Alec Guinness,210,bona-fide,0,1,1
211,211,211,InTheWild/release_in_the_wild/211.wav,Ronald Reagan,211,spoof,1,1,0
212,212,212,InTheWild/release_in_the_wild/212.wav,Ronald Reagan,212,bona-fide,0,1,1
213,213,213,InTheWild/release_in_the_wild/213.wav,FDR,213,bona-fide,0,1,1
214,214,214,InTheWild/release_in_the_wild/214.wav,George W. Bush,214,spoof,1,1,0
215,215,215,InTheWild/release_in_the_wild/215.wav,Alec Guinness,215,spoof,1,1,0
216,216,216,InTheWild/release_in_the_wild/216.wav,Mark Zuckerberg,216,bona-fide,0,1,1
217,217,217,InTheWild/release_in_the_wild/217.wav,Richard Nixon,217,bona-fide,0,1,1
218,218,218,InTheWild/release_in_the_wild/218.wav,Donald Trump,218,bona-fide,0,1,1
219,219,219,InTheWild/release_in_the_wild/219.wav,Donald Trump,219,bona-fide,0,1,1
220,220,220,InTheWild/release_in_the_wild/220.wav,Ronald Reagan,220,bona-fide,0,1,1
221,221,221,InTheWild/release_in_the_wild/221.wav,Richard Nixon,221,bona-fide,0,1,1
222,222,222,InTheWild/release_in_the_wild/222.wav,Donald Trump,222,bona-fide,0,1,1
223,223,223,InTheWild/release_in_the_wild/223.wav,Barack Obama,223,bona-fide,0,1,1
224,224,224,InTheWild/release_in_the_wild/224.wav,John Cleese,224,spoof,1,1,0
225,225,225,InTheWild/release_in_the_wild/225.wav,Bill Clinton,225,spoof,1,1,0
226,226,226,InTheWild/release_in_the_wild/226.wav,Nelson Mandela,226,spoof,1,1,0
227,227,227,InTheWild/release_in_the_wild/227.wav,Barack Obama,227,bona-fide,0,1,1
228,228,228,InTheWild/release_in_the_wild/228.wav,Alec Guinness,228,bona-fide,0,1,1
229,229,229,InTheWild/release_in_the_wild/229.wav,The Notorious B.I.G.,229,spoof,1,1,0
230,230,230,InTheWild/release_in_the_wild/230.wav,Christopher Hitchens,230,bona-fide,0,1,1
231,231,231,InTheWild/release_in_the_wild/231.wav,Frank Sinatra,231,spoof,1,1,0
232,232,232,InTheWild/release_in_the_wild/232.wav,Alexandria Ocasio-Cortez,232,bona-fide,0,1,1
233,233,233,InTheWild/release_in_the_wild/233.wav,Louis Farrakhan,233,bona-fide,0,1,1
234,234,234,InTheWild/release_in_the_wild/234.wav,Winston Churchill,234,bona-fide,0,1,1
235,235,235,InTheWild/release_in_the_wild/235.wav,Christopher Hitchens,235,bona-fide,0,1,1
236,236,236,InTheWild/release_in_the_wild/236.wav,Alec Guinness,236,spoof,1,1,0
237,237,237,InTheWild/release_in_the_wild/237.wav,Christopher Hitchens,237,bona-fide,0,1,1
238,238,238,InTheWild/release_in_the_wild/238.wav,Bill Clinton,238,bona-fide,0,1,1
239,239,239,InTheWild/release_in_the_wild/239.wav,Louis Farrakhan,239,bona-fide,0,1,1
240,240,240,InTheWild/release_in_the_wild/240.wav,JFK,240,bona-fide,0,1,1
241,241,241,InTheWild/release_in_the_wild/241.wav,Ronald Reagan,241,bona-fide,0,1,1
242,242,242,InTheWild/release_in_the_wild/242.wav,Ayn Rand,242,bona-fide,0,1,1
243,243,243,InTheWild/release_in_the_wild/243.wav,Donald Trump,243,bona-fide,0,1,1
244,244,244,InTheWild/release_in_the_wild/244.wav,Barack Obama,244,bona-fide,0,1,1
245,245,245,InTheWild/release_in_the_wild/245.wav,Ronald Reagan,245,bona-fide,0,1,1
246,246,246,InTheWild/release_in_the_wild/246.wav,Martin Luther King,246,spoof,1,1,0
247,247,247,InTheWild/release_in_the_wild/247.wav,Norm MacDonald,247,bona-fide,0,1,1
248,248,248,InTheWild/release_in_the_wild/248.wav,Christopher Hitchens,248,bona-fide,0,1,1
249,249,249,InTheWild/release_in_the_wild/249.wav,Alec Guinness,249,bona-fide,0,1,1
250,250,250,InTheWild/release_in_the_wild/250.wav,Donald Trump,250,bona-fide,0,1,1
251,251,251,InTheWild/release_in_the_wild/251.wav,Barack Obama,251,spoof,1,1,0
252,252,252,InTheWild/release_in_the_wild/252.wav,Queen Elizabeth II,252,bona-fide,0,1,1
253,253,253,InTheWild/release_in_the_wild/253.wav,Alexandria Ocasio-Cortez,253,spoof,1,1,0
254,254,254,InTheWild/release_in_the_wild/254.wav,Bernie Sanders,254,bona-fide,0,1,1
255,255,255,InTheWild/release_in_the_wild/255.wav,Alec Guinness,255,bona-fide,0,1,1
256,256,256,InTheWild/release_in_the_wild/256.wav,Winston Churchill,256,bona-fide,0,1,1
257,257,257,InTheWild/release_in_the_wild/257.wav,Richard Nixon,257,spoof,1,1,0
258,258,258,InTheWild/release_in_the_wild/258.wav,Barack Obama,258,bona-fide,0,1,1
259,259,259,InTheWild/release_in_the_wild/259.wav,Bernie Sanders,259,bona-fide,0,1,1
260,260,260,InTheWild/release_in_the_wild/260.wav,Donald Trump,260,bona-fide,0,1,1
261,261,261,InTheWild/release_in_the_wild/261.wav,Alec Guinness,261,spoof,1,1,0
262,262,262,InTheWild/release_in_the_wild/262.wav,Arnold Schwarzenegger,262,bona-fide,0,1,1
263,263,263,InTheWild/release_in_the_wild/263.wav,Ayn Rand,263,bona-fide,0,1,1
264,264,264,InTheWild/release_in_the_wild/264.wav,Gilbert Gottfried,264,bona-fide,0,1,1
265,265,265,InTheWild/release_in_the_wild/265.wav,Alec Guinness,265,spoof,1,1,0
266,266,266,InTheWild/release_in_the_wild/266.wav,Bernie Sanders,266,bona-fide,0,1,1
267,267,267,InTheWild/release_in_the_wild/267.wav,Alec Guinness,267,spoof,1,1,0
268,268,268,InTheWild/release_in_the_wild/268.wav,Donald Trump,268,bona-fide,0,1,1
269,269,269,InTheWild/release_in_the_wild/269.wav,Ayn Rand,269,spoof,1,1,0
270,270,270,InTheWild/release_in_the_wild/270.wav,Queen Elizabeth II,270,spoof,1,1,0
271,271,271,InTheWild/release_in_the_wild/271.wav,Ronald Reagan,271,spoof,1,1,0
272,272,272,InTheWild/release_in_the_wild/272.wav,Barack Obama,272,bona-fide,0,1,1
273,273,273,InTheWild/release_in_the_wild/273.wav,Mark Zuckerberg,273,spoof,1,1,0
274,274,274,InTheWild/release_in_the_wild/274.wav,Bill Burr,274,bona-fide,0,1,1
275,275,275,InTheWild/release_in_the_wild/275.wav,Alec Guinness,275,spoof,1,1,0
276,276,276,InTheWild/release_in_the_wild/276.wav,Barack Obama,276,bona-fide,0,1,1
277,277,277,InTheWild/release_in_the_wild/277.wav,Ayn Rand,277,spoof,1,1,0
278,278,278,InTheWild/release_in_the_wild/278.wav,Bill Clinton,278,spoof,1,1,0
279,279,279,InTheWild/release_in_the_wild/279.wav,Donald Trump,279,bona-fide,0,1,1
280,280,280,InTheWild/release_in_the_wild/280.wav,Bernie Sanders,280,bona-fide,0,1,1
281,281,281,InTheWild/release_in_the_wild/281.wav,Barack Obama,281,bona-fide,0,1,1
282,282,282,InTheWild/release_in_the_wild/282.wav,Ayn Rand,282,spoof,1,1,0
283,283,283,InTheWild/release_in_the_wild/283.wav,John Cleese,283,spoof,1,1,0
284,284,284,InTheWild/release_in_the_wild/284.wav,Ayn Rand,284,bona-fide,0,1,1
285,285,285,InTheWild/release_in_the_wild/285.wav,Winston Churchill,285,spoof,1,1,0
286,286,286,InTheWild/release_in_the_wild/286.wav,George Carlin,286,bona-fide,0,1,1
287,287,287,InTheWild/release_in_the_wild/287.wav,Bill Clinton,287,spoof,1,1,0
288,288,288,InTheWild/release_in_the_wild/288.wav,Barack Obama,288,bona-fide,0,1,1
289,289,289,InTheWild/release_in_the_wild/289.wav,Ayn Rand,289,bona-fide,0,1,1
290,290,290,InTheWild/release_in_the_wild/290.wav,Donald Trump,290,bona-fide,0,1,1
291,291,291,InTheWild/release_in_the_wild/291.wav,Winston Churchill,291,bona-fide,0,1,1
292,292,292,InTheWild/release_in_the_wild/292.wav,Bernie Sanders,292,spoof,1,1,0
